ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
ITEM: ATOMS id x y z
382 1.65102 32.3737 35.7202
383 67.9444 30.5627 37.318
384 1.697 32.3165 39.0763
385 0.0256613 30.604 40.8123
386 1.73325 32.357 42.5192
387 0.015209 30.6339 44.2109
388 1.73451 32.3022 45.8622
389 67.933 30.5172 47.5828
390 1.65824 32.2644 49.2732
391 0.0461992 30.514 50.9913
392 1.71458 32.281 52.7008
393 0.0777257 30.5727 54.4303
394 1.67684 32.228 56.082
395 0.0565144 30.6325 57.7632
396 1.65154 32.3437 59.5181
397 67.9479 30.6383 61.1807
398 1.68172 32.3458 62.8361
399 67.9482 30.5896 64.5265
400 1.6372 32.2817 66.2891
401 0.00973948 33.9952 0.0432917
402 1.64483 35.7251 1.72681
403 0.0450275 34.0067 3.33225
404 1.67052 35.7066 5.08855
405 0.0263245 34.0126 6.76318
406 1.68417 35.6962 8.55505
407 67.9125 34.0206 10.2037
408 1.72999 35.7095 11.8583
409 67.9246 34.0456 13.543
410 1.69537 35.7602 15.2849
411 67.9672 33.9912 17.0216
412 1.64564 35.7421 18.7723
413 67.9266 34.0174 20.4491
414 1.66412 35.7498 22.1403
415 67.9656 33.9519 23.7535
416 1.64499 35.7621 25.4472
417 0.0636608 33.9757 27.1759
418 1.70828 35.7462 28.8422
419 0.0400567 34.0048 30.5484
420 1.66045 35.7402 32.2811
421 0.0259262 34.1033 34.1034
422 1.68366 35.7323 35.6947
423 67.9301 34.0979 37.4457
424 1.83475 35.7674 39.1459
425 0.0317054 34.0432 40.7886
426 1.82761 35.6452 42.5072
427 0.0149519 34.0015 44.215
428 1.70244 35.7144 45.9505
429 0.0202484 34.032 47.5835
430 1.69046 35.6849 49.3184
431 67.9932 34.0245 50.9705
432 1.58671 35.7343 52.6117
433 67.9763 33.983 54.4027
434 1.59209 35.8151 56.0769
435 0.0307894 34.045 57.7936
436 1.72232 35.7256 59.5878
437 0.00030798 34.0461 61.1944
438 1.64668 35.7103 62.8575
439 0.056318 34.0693 64.5536
440 1.65716 35.6944 66.2866
441 0.00811208 37.3783 0.0467547
442 1.68912 39.0156 1.69967
443 67.9587 37.4243 3.40535
444 1.66533 39.1011 5.1156
445 67.9897 37.433 6.77221
446 1.65831 39.0847 8.52356
447 67.9609 37.4702 10.2285
448 1.74257 39.1005 11.9045
449 0.0330768 37.4418 13.5718
450 1.78258 39.1137 15.3458
451 0.082192 37.43 17.0445
452 1.76399 39.0901 18.6557
453 67.9539 37.4309 20.374
454 1.71859 39.0938 22.0836
455 67.9019 37.4688 23.7569
456 1.67299 39.1158 25.4413
457 67.9576 37.5196 27.2157
458 1.70893 39.182 28.8639
459 67.9485 37.504 30.5571
460 1.72133 39.1131 32.2547
461 67.9983 37.4128 33.9836
462 1.73477 39.0994 35.8005
463 67.977 37.3539 37.4352
464 1.74899 39.1378 39.1113
465 0.0533366 37.3492 40.7665
466 1.71263 39.1541 42.5424
467 0.00158671 37.3352 44.2508
468 1.61611 39.1067 45.9143
469 67.9693 37.4094 47.6539
470 1.65518 39.1063 49.3052
471 67.9849 37.4441 50.9785
472 1.59769 39.0782 52.6501
473 67.9274 37.4905 54.251
474 1.57037 39.0517 56.0976
475 67.9485 37.4044 57.8949
476 1.68924 39.0673 59.5178
477 67.9785 37.3493 61.1653
478 1.66601 39.1024 62.93
479 0.00254442 37.3264 64.6037
480 1.68241 39.0449 66.2617
481 67.9964 40.7732 0.00283328
482 1.6741 42.5089 1.76156
483 67.8909 40.6639 3.35306
484 1.63782 42.4251 5.08337
485 67.955 40.6882 6.86296
486 1.64469 42.4682 8.48127
487 67.9468 40.7854 10.2332
488 1.71091 42.4455 11.8939
489 0.046514 40.7539 13.6176
490 1.73943 42.3929 15.3154
491 0.0498957 40.7467 16.9822
492 1.76884 42.4515 18.7021
493 67.9805 40.7351 20.386
494 1.71147 42.4764 22.101
495 67.93 40.7916 23.8207
496 1.59408 42.4599 25.4397
497 67.912 40.7658 27.1551
498 1.71204 42.4212 28.8638
499 67.9593 40.8299 30.5836
500 1.73406 42.5084 32.2661
501 67.9945 40.7716 33.9454
502 1.65431 42.5554 35.7199
503 0.0170535 40.8138 37.4492
504 1.67805 42.4877 39.1145
505 0.0852957 40.8503 40.8176
506 1.66671 42.4621 42.5111
507 67.9722 40.8549 44.2381
508 1.63707 42.4828 45.8612
509 67.8504 40.8145 47.6558
510 1.6332 42.5078 49.2884
511 67.9731 40.7392 50.9989
512 1.60907 42.4767 52.6852
513 67.9346 40.7972 54.3479
514 1.55414 42.4554 56.1067
515 67.9194 40.742 57.8419
516 1.66717 42.4513 59.5091
517 67.935 40.7504 61.1888
518 1.69268 42.4576 62.9015
519 67.9969 40.8157 64.6169
520 1.67747 42.4932 66.2592
521 0.0214816 44.1846 0.0661688
522 1.67815 45.8727 1.67148
523 0.0692827 44.2958 3.36678
524 1.70909 45.8186 5.08586
525 0.00081086 44.2121 6.78955
526 1.62799 45.851 8.49471
527 67.916 44.1571 10.2464
528 1.69283 45.7937 11.9674
529 67.9457 44.0533 13.6093
530 1.72272 45.7676 15.2996
531 0.039508 44.0204 16.9154
532 1.7157 45.8144 18.6568
533 67.9752 44.1315 20.383
534 1.7323 45.8304 22.052
535 67.9583 44.2154 23.7926
536 1.66145 45.9198 25.4344
537 0.0144516 44.2087 27.2176
538 1.72496 45.9693 28.9601
539 0.00960388 44.1651 30.5756
540 1.72454 45.9204 32.1845
541 67.9779 44.2455 33.8651
542 1.70227 45.8692 35.7197
543 0.0538832 44.2016 37.569
544 1.68544 45.8632 39.1576
545 0.0483686 44.1407 40.7746
546 1.61456 45.9056 42.4966
547 0.0173313 44.1281 44.2469
548 1.75479 45.8947 45.8834
549 67.9326 44.2427 47.5804
550 1.74049 45.8907 49.2597
551 67.9637 44.1255 51.0509
552 1.67001 45.8244 52.7332
553 67.9398 44.1245 54.4676
554 1.70273 45.9003 56.1504
555 67.9435 44.1898 57.7921
556 1.71347 45.8498 59.4677
557 67.9852 44.1429 61.144
558 1.66766 45.7764 62.9191
559 0.0036807 44.1558 64.6059
560 1.64645 45.8519 66.2817
561 0.0134337 47.6444 67.9985
562 1.71811 49.293 1.70753
563 0.153734 47.5932 3.35731
564 1.76879 49.3671 5.02391
565 0.105207 47.5875 6.69839
566 1.68899 49.3622 8.44229
567 67.9404 47.5354 10.286
568 1.58736 49.3491 11.9961
